Arizona Cardinals,ARI,1,5,0,0.167,82,139,0-3-0,1-2-2000,1-2-2000,1-5-2000,0-0-0
Atlanta Falcons,ATL,2,4,0,0.333,167,192,2-2-2000,0-2-0,2-1-2000,2-2-2000,0-2-0
Baltimore Ravens,BAL,4,2,0,0.667,153,77,2-0-0,2-2-2000,1-2-2000,4-2-2000,0-0-0
Buffalo Bills,BUF,2,4,0,0.333,76,138,1-1-2000,1-3-2000,0-0-0,1-3-2000,1-1-2000
Carolina Panthers,CAR,3,2,0,0.6,121,114,3-0-0,0-2-0,0-1-0,2-2-2000,1-0-0
Chicago Bears,CHI,3,2,0,0.6,139,96,2-0-0,1-2-2000,0-1-0,3-1-2000,0-1-0
Cincinnati Bengals,CLE,4,2,0,0.667,174,158,2-1-2000,2-1-2000,1-1-2000,3-1-2000,1-1-2000
Cleveland Browns,CLE,2,3,1,0.417,128,151,2-1-2001,0-2-0,1-0-1,2-2-2001,0-1-0
Dallas Cowboys,DAL,3,3,0,0.5,123,103,3-0-0,0-3-0,1-0-0,2-2-2000,1-1-2000
Denver Broncos,DEN,2,4,0,0.333,120,154,2-2-2000,0-2-0,1-1-2000,1-3-2000,1-1-2000
Detroit Lions,DET,2,3,0,0.4,125,137,2-1-2000,0-2-0,1-0-0,1-2-2000,1-1-2000
Green Bay Packers,GB,3,2,1,0.583,148,144,3-0-1,0-2-0,1-1-2001,2-2-2001,1-0-0
Houston Texans,HOU,3,3,0,0.5,135,137,2-1-2000,1-2-2000,1-1-2000,2-2-2000,1-1-2000
Indianapolis Colts,IND,1,5,0,0.167,152,180,0-2-0,1-3-2000,0-1-0,0-4-0,1-1-2000
Jacksonville Jaguars,JAX,3,3,0,0.5,109,126,2-1-2000,1-2-2000,0-1-0,2-2-2000,1-1-2000
Kansas City Chiefs,KC,5,1,0,0.833,215,172,2-0-0,3-1-2000,2-0-0,4-1-2000,1-0-0
Los Angeles Chargers,LA,4,2,0,0.667,175,144,2-1-2000,2-1-2000,1-1-2000,3-1-2000,1-1-2000
Los Angeles Rams,LA,6,0,0,1,196,118,3-0-0,3-0-0,2-0-0,3-0-0,3-0-0
Miami Dolphins,MIA,4,2,0,0.667,130,145,3-0-0,1-2-2000,1-1-2000,3-2-2000,1-0-0
Minnesota Vikings,MIN,3,2,1,0.583,140,148,2-1-2000,1-1-2001,0-0-1,3-1-2001,0-1-0
New England Patriots,NE,4,2,0,0.667,176,148,4-0-0,0-2-0,1-0-0,4-1-2000,0-1-0
New Orleans Saints,NO,4,1,0,0.8,180,140,2-1-2000,2-0-0,1-1-2000,3-1-2000,1-0-0
New York Giants,NYG,1,5,0,0.167,117,162,0-3-0,1-2-2000,0-2-0,0-4-0,1-1-2000
New York Jets,NYJ,3,3,0,0.5,165,139,2-1-2000,1-2-2000,0-1-0,2-3-2000,1-0-0
Oakland Raiders,OAK,1,5,0,0.167,110,176,1-2-2000,0-3-0,0-2-0,1-3-2000,0-2-0
Philadelphia Eagles,PHI,3,3,0,0.5,137,117,2-1-2000,1-2-2000,1-0-0,2-2-2000,1-1-2000
Pittsburgh Steelers,PIT,3,2,1,0.583,171,154,1-2-2000,2-0-1,1-1-2001,1-2-2001,2-0-0
San Francisco 49ers,SF,1,5,0,0.167,148,179,1-1-2000,0-4-0,0-1-0,1-3-2000,0-2-0
Seattle Seahawks,SEA,3,3,0,0.5,143,117,1-1-2000,2-2-2000,1-1-2000,2-2-2000,1-1-2000
Tampa Bay Buccaneers,TB,2,3,0,0.4,141,173,1-1-2000,1-2-2000,1-1-2000,2-2-2000,0-1-0
Tennessee Titans,TEN,3,3,0,0.5,87,107,2-1-2000,1-2-2000,2-0-0,2-3-2000,1-0-0
Washington Redskins,WAS,3,2,0,0.6,106,104,2-1-2000,1-1-2000,0-0-0,3-1-2000,0-1-0